"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Regular price","Categories","Tags","Images"
"simple","MEDIVISTA-DERMALAX-IMPLANT-PLUS","Dermalax Implant Plus","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/dermalax-implant-plus.webp"
"simple","MEDIVISTA-DERMALAX-PLUS","Dermalax Plus","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/dermalax-plus.webp"
"simple","MEDIVISTA-DERMARCANE-DEEP","DermArcane Deep","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/dermarcane-deep.webp"
"simple","MEDIVISTA-DERMARCANE-FINE","DermArcane Fine","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/dermarcane-fine.webp"
"simple","MEDIVISTA-DERMARCANE-IMPLANT","DermArcane Implant","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/dermarcane-implant.webp"
"simple","MEDIVISTA-DERMARCANE-SHAPE","DermArcane Shape","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/dermarcane-shape.webp"
"simple","MEDIVISTA-DYSPORT-500UNITS","Dysport 500Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/dysport-500units.webp"
"simple","MEDIVISTA-ELASTY-D-PLUS","ELASTY D Plus","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/elasty-d-plus.webp"
"simple","MEDIVISTA-ELASTY-F-PLUS","ELASTY F Plus","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/elasty-f-plus.webp"
"simple","MEDIVISTA-ELASTY-G-PLUS","ELASTY G Plus","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/elasty-g-plus.webp"
"simple","MEDIVISTA-ELRAVIE-PREMIER-DEEP-LINE-L","Elravie Premier Deep Line-L","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/elravie-premier-deep-line-l.webp"
"simple","MEDIVISTA-ELRAVIE-PREMIER-LIGHT-L","Elravie Premier Light-L","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/elravie-premier-light-l.webp"
"simple","MEDIVISTA-ELRAVIE-PREMIER-ULTRA-VOLUME-L","Elravie Premier Ultra Volume-L","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/elravie-premier-ultra-volume-l.webp"
"simple","MEDIVISTA-EPTQ-S100","EPTQ S100","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/eptq-s100.webp"
"simple","MEDIVISTA-EPTQ-S300","EPTQ S300","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/eptq-s300.webp"
"simple","MEDIVISTA-EPTQ-S500","EPTQ S500","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/eptq-s500.webp"
"simple","MEDIVISTA-GC-ARGININE-1010","GC Arginine 1010","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Vitamin Injections","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/gc-arginine-1010.webp"
"simple","MEDIVISTA-GC-ARGININE-2510","GC Arginine 2510","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Vitamin Injections","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/gc-arginine-2510.webp"
"simple","MEDIVISTA-GOURI","Gouri","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Biostimulators","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/gouri.webp"
"simple","MEDIVISTA-GOURI-SYNERGY-SKINBOOSTER","Gouri Synergy SkinBooster","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Skin Boosters","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/gouri-synergy-skinbooster.webp"
"simple","MEDIVISTA-GUTHION-1200MG","Guthion 1200mg","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Vitamin Injections","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/guthion-1200mg.webp"
"simple","MEDIVISTA-HAMILREMING-HB","HAMILREMING HB","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Skin Boosters","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/hamilreming-hb.webp"
"simple","MEDIVISTA-HAMILREMING-I","HAMILREMING i","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Skin Boosters","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/hamilreming-i.webp"
"simple","MEDIVISTA-HAMILREMING-PN","HAMILREMING PN","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Skin Boosters","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/hamilreming-pn.webp"
"simple","MEDIVISTA-H-LIDO-CREAM","H-Lido Cream","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Others","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/h-lido-cream.webp"
"simple","MEDIVISTA-HUTOX-100UNITS","Hutox 100Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/hutox-100units.webp"
"simple","MEDIVISTA-HUTOX-200UNITS","Hutox 200Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/hutox-200units.webp"
"simple","MEDIVISTA-HYARON","Hyaron","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Skin Boosters","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/hyaron.webp"
"simple","MEDIVISTA-INNOTOX-100UNITS","Innotox 100Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/innotox-100units.webp"
"simple","MEDIVISTA-INNOTOX-50UNITS","Innotox 50Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/innotox-50units.webp"
"simple","MEDIVISTA-JEIL-HIGH-B","Jeil High B","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Vitamin Injections","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/jeil-high-b.webp"
"simple","MEDIVISTA-JTOK-100UNITS","Jtok 100Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/jtok-100units.webp"
"simple","MEDIVISTA-JTOK-200UNITS","Jtok 200Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/jtok-200units.webp"
"simple","MEDIVISTA-JUVEDERM-ULTRA-XC","Juvederm Ultra XC","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/juvederm-ultra-xc.webp"
"simple","MEDIVISTA-JUVEDERM-VOLBELLA","Juvederm Volbella","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/juvederm-volbella.webp"
"simple","MEDIVISTA-JUVEDERM-VOLIFT","Juvederm Volift","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/juvederm-volift.webp"
"simple","MEDIVISTA-JUVEDERM-VOLUMA","Juvederm Voluma","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/juvederm-voluma.webp"
"simple","MEDIVISTA-JUVEDERM-VOLUX","Juvederm Volux","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/juvederm-volux.webp"
"simple","MEDIVISTA-KABELLINE","Kabelline","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Lipolysis","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/kabelline.webp"
"simple","MEDIVISTA-KIARA-REJU","Kiara Reju","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Skin Boosters","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/kiara-reju.webp"
"simple","MEDIVISTA-LAENNEC","Laennec","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Vitamin Injections","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/laennec.webp"
"simple","MEDIVISTA-LAPOLYQUE","Lapolyque","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Others","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/lapolyque.webp"
"simple","MEDIVISTA-L-CAR","L-car","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Others","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/l-car.webp"
"simple","MEDIVISTA-LIPO-LAB","Lipo Lab","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Lipolysis","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/lipo-lab.webp"
"simple","MEDIVISTA-LIPO-VELA","Lipo Vela","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Lipolysis","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/lipo-vela.webp"
"simple","MEDIVISTA-LIPO-VELE-V","Lipo Vele-V","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Lipolysis","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/lipo-vele-v.webp"
"simple","MEDIVISTA-LIPORASE","Liporase","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Lipolysis","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/liporase.webp"
"simple","MEDIVISTA-LIPSSOM","Lipssom","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Others","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/lipssom.webp"
"simple","MEDIVISTA-LIZTOX-100UNITS","Liztox 100Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/liztox-100units.webp"
"simple","MEDIVISTA-LIZTOX-200UNITS","Liztox 200Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/liztox-200units.webp"
"simple","MEDIVISTA-LUTHIONE-1200MG","Luthione 1200mg","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Vitamin Injections","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/luthione-1200mg.webp"
"simple","MEDIVISTA-LUTHIONE-600MG","Luthione 600mg","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Vitamin Injections","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/luthione-600mg.webp"
"simple","MEDIVISTA-MEDITOXIN-100UNITS","Meditoxin 100Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/meditoxin-100units.webp"
"simple","MEDIVISTA-MEDITOXIN-150UNITS","Meditoxin 150Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/meditoxin-150units.webp"
"simple","MEDIVISTA-MEDITOXIN-200UNITS","Meditoxin 200Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/meditoxin-200units.webp"
"simple","MEDIVISTA-MELSMON","Melsmon","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Vitamin Injections","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/melsmon.webp"
"simple","MEDIVISTA-NABOTA-100UNITS","Nabota 100Units","0","1","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/nabota-100units.webp"
"simple","MEDIVISTA-NABOTA-200UNITS","Nabota 200Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/nabota-200units.webp"
"simple","MEDIVISTA-NEURAMIS-DEEP-LIDOCAINE","Neuramis Deep Lidocaine","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/neuramis-deep-lidocaine.webp"
"simple","MEDIVISTA-NEURAMIS-LIDOCAINE","Neuramis Lidocaine","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/neuramis-lidocaine.webp"
